id,РџРѕРєСѓРїР°С‚РµР»СЊСЃРєР°СЏ Р°РєС‚РёРІРЅРѕСЃС‚СЊ,РўРёРї СЃРµСЂРІРёСЃР°,Р Р°Р·СЂРµС€РёС‚СЊ СЃРѕРѕР±С‰Р°С‚СЊ,РњР°СЂРєРµС‚_Р°РєС‚РёРІ_6_РјРµСЃ,РњР°СЂРєРµС‚_Р°РєС‚РёРІ_С‚РµРє_РјРµСЃ,Р”Р»РёС‚РµР»СЊРЅРѕСЃС‚СЊ,РђРєС†РёРѕРЅРЅС‹Рµ_РїРѕРєСѓРїРєРё,РџРѕРїСѓР»СЏСЂРЅР°СЏ_РєР°С‚РµРіРѕСЂРёСЏ,РЎСЂРµРґРЅРёР№_РїСЂРѕСЃРјРѕС‚СЂ_РєР°С‚РµРіРѕСЂРёР№_Р·Р°_РІРёР·РёС‚,РќРµРѕРїР»Р°С‡РµРЅРЅС‹Рµ_РїСЂРѕРґСѓРєС‚С‹_С€С‚СѓРє_РєРІР°СЂС‚Р°Р»,РћС€РёР±РєР°_СЃРµСЂРІРёСЃР°,РЎС‚СЂР°РЅРёС†_Р·Р°_РІРёР·РёС‚
215360,РЎРЅРёР·РёР»Р°СЃСЊ,РїСЂРµРјРёСѓРј,РґР°,3.9,3,623,0.35,РљСѓС…РѕРЅРЅР°СЏ РїРѕСЃСѓРґР°,3,1,4,7
215361,РЎРЅРёР·РёР»Р°СЃСЊ,СЃС‚Р°РЅРґР°СЂС‚,РґР°,5.1,4,199,0.23,РўРµС…РЅРёРєР° РґР»СЏ РєСЂР°СЃРѕС‚С‹ Рё Р·РґРѕСЂРѕРІСЊСЏ,4,5,2,3
215362,РЎРЅРёР·РёР»Р°СЃСЊ,РїСЂРµРјРёСѓРј,РґР°,4.2,4,438,0.74,Р”РѕРјР°С€РЅРёР№ С‚РµРєСЃС‚РёР»СЊ,3,4,6,4
215363,РЎРЅРёР·РёР»Р°СЃСЊ,СЃС‚Р°РЅРґР°СЂС‚,РЅРµС‚,4.9,4,923,0.29,РўРѕРІР°СЂС‹ РґР»СЏ РґРµС‚РµР№,6,0,3,1
215364,РЎРЅРёР·РёР»Р°СЃСЊ,РїСЂРµРјРёСѓРј,РґР°,4.3,4,708,0.98,Р”РѕРјР°С€РЅРёР№ С‚РµРєСЃС‚РёР»СЊ,3,3,3,3
215365,РЎРЅРёР·РёР»Р°СЃСЊ,СЃС‚Р°РЅРґР°СЂС‚,РґР°,3.9,4,167,0.95,РўРµС…РЅРёРєР° РґР»СЏ РєСЂР°СЃРѕС‚С‹ Рё Р·РґРѕСЂРѕРІСЊСЏ,6,4,2,5
215366,РЎРЅРёР·РёР»Р°СЃСЊ,СЃС‚Р°РЅРґР°СЂС‚,РЅРµС‚,3.8,3,209,0.22,РўРѕРІР°СЂС‹ РґР»СЏ РґРµС‚РµР№,5,3,7,7
215367,РЎРЅРёР·РёР»Р°СЃСЊ,РїСЂРµРјРёСѓРј,РґР°,4.2,4,581,0.4,РўРѕРІР°СЂС‹ РґР»СЏ РґРµС‚РµР№,5,1,4,1
215368,РЎРЅРёР·РёР»Р°СЃСЊ,РїСЂРµРјРёСѓРј,РґР°,3.8,5,829,0.24,РўРµС…РЅРёРєР° РґР»СЏ РєСЂР°СЃРѕС‚С‹ Рё Р·РґРѕСЂРѕРІСЊСЏ,2,2,6,1
215369,РЎРЅРёР·РёР»Р°СЃСЊ,СЃС‚Р°РЅРґР°СЂС‚,РЅРµС‚,2.7,4,607,0.21,РўРѕРІР°СЂС‹ РґР»СЏ РґРµС‚РµР№,2,2,3,4
215370,РЎРЅРёР·РёР»Р°СЃСЊ,СЃС‚Р°РЅРґР°СЂС‚,РґР°,3.9,4,572,0.4,Р”РѕРјР°С€РЅРёР№ С‚РµРєСЃС‚РёР»СЊ,2,0,5,5
215371,РЎРЅРёР·РёР»Р°СЃСЊ,СЃС‚Р°РЅРґР°СЂС‚,РґР°,3.8,4,365,0.21,Р”РѕРјР°С€РЅРёР№ С‚РµРєСЃС‚РёР»СЊ,5,0,6,1
215372,РЎРЅРёР·РёР»Р°СЃСЊ,СЃС‚Р°РЅРґР°СЂС‚,РЅРµС‚,4.8,4,566,0.39,РљРѕСЃРјРµС‚РёРєР° Рё Р°РєСЃРµСЃСѓР°СЂС‹,2,1,4,5
215373,РЎРЅРёР·РёР»Р°СЃСЊ,РїСЂРµРјРёСѓРј,РЅРµС‚,3.8,3,811,0.9,РўРѕРІР°СЂС‹ РґР»СЏ РґРµС‚РµР№,2,5,5,3
215374,РЎРЅРёР·РёР»Р°СЃСЊ,СЃС‚Р°РЅРґР°СЂС‚,РЅРµС‚,2.9,5,268,0.98,Р”РѕРјР°С€РЅРёР№ С‚РµРєСЃС‚РёР»СЊ,6,3,2,2
215375,РЎРЅРёР·РёР»Р°СЃСЊ,РїСЂРµРјРёСѓРј,РґР°,3.0,4,558,0.89,РўРѕРІР°СЂС‹ РґР»СЏ РґРµС‚РµР№,3,3,7,4
215376,РЎРЅРёР·РёР»Р°СЃСЊ,СЃС‚Р°РЅРґР°СЂС‚,РґР°,2.4,3,534,0.98,Р”РѕРјР°С€РЅРёР№ С‚РµРєСЃС‚РёР»СЊ,4,1,5,4
215377,РЎРЅРёР·РёР»Р°СЃСЊ,СЃС‚Р°РЅРґР°СЂС‚,РґР°,4.6,4,730,0.27,РўРѕРІР°СЂС‹ РґР»СЏ РґРµС‚РµР№,2,5,8,5
215378,РЎРЅРёР·РёР»Р°СЃСЊ,СЃС‚Р°РЅРґР°СЂС‚,РґР°,1.7,3,488,0.39,РўРµС…РЅРёРєР° РґР»СЏ РєСЂР°СЃРѕС‚С‹ Рё Р·РґРѕСЂРѕРІСЊСЏ,5,1,4,3
215379,РЎРЅРёР·РёР»Р°СЃСЊ,СЃС‚Р°РЅРґР°СЂС‚,РЅРµС‚,3.4,4,436,0.98,РўРѕРІР°СЂС‹ РґР»СЏ РґРµС‚РµР№,3,0,3,5
215380,РЎРЅРёР·РёР»Р°СЃСЊ,РїСЂРµРјРёСѓРј,РЅРµС‚,1.7,4,637,0.94,РўРµС…РЅРёРєР° РґР»СЏ РєСЂР°СЃРѕС‚С‹ Рё Р·РґРѕСЂРѕРІСЊСЏ,3,2,4,7
215381,РЎРЅРёР·РёР»Р°СЃСЊ,СЃС‚Р°РЅРґР°СЂС‚,РґР°,3.6,5,554,0.33,Р”РѕРјР°С€РЅРёР№ С‚РµРєСЃС‚РёР»СЊ,6,1,6,5
215382,РЎРЅРёР·РёР»Р°СЃСЊ,СЃС‚Р°РЅРґР°СЂС‚,РґР°,4.6,4,330,0.89,РўРµС…РЅРёРєР° РґР»СЏ РєСЂР°СЃРѕС‚С‹ Рё Р·РґРѕСЂРѕРІСЊСЏ,6,2,7,6
215383,РЎРЅРёР·РёР»Р°СЃСЊ,СЃС‚Р°РЅРґР°СЂС‚,РґР°,2.7,4,504,0.33,РўРµС…РЅРёРєР° РґР»СЏ РєСЂР°СЃРѕС‚С‹ Рё Р·РґРѕСЂРѕРІСЊСЏ,2,4,2,4
215384,РЎРЅРёР·РёР»Р°СЃСЊ,СЃС‚Р°РЅРґР°СЂС‚,РґР°,4.0,4,1020,0.34,РљРѕСЃРјРµС‚РёРєР° Рё Р°РєСЃРµСЃСѓР°СЂС‹,2,3,8,3
215385,РЎРЅРёР·РёР»Р°СЃСЊ,СЃС‚Р°РЅРґР°СЂС‚,РґР°,3.6,4,721,0.24,Р”РѕРјР°С€РЅРёР№ С‚РµРєСЃС‚РёР»СЊ,5,3,4,4
215386,РЎРЅРёР·РёР»Р°СЃСЊ,СЃС‚Р°РЅРґР°СЂС‚,РґР°,1.5,3,495,0.98,Р”РѕРјР°С€РЅРёР№ С‚РµРєСЃС‚РёР»СЊ,2,3,7,5
215387,РЎРЅРёР·РёР»Р°СЃСЊ,СЃС‚Р°РЅРґР°СЂС‚,РґР°,4.6,3,135,0.32,РљРѕСЃРјРµС‚РёРєР° Рё Р°РєСЃРµСЃСѓР°СЂС‹,5,0,3,4
215388,РЎРЅРёР·РёР»Р°СЃСЊ,СЃС‚Р°РЅРґР°СЂС‚,РґР°,3.5,4,663,0.99,Р”РѕРјР°С€РЅРёР№ С‚РµРєСЃС‚РёР»СЊ,4,2,2,2
215389,РЎРЅРёР·РёР»Р°СЃСЊ,РїСЂРµРјРёСѓРј,РґР°,4.1,3,1047,0.93,РўРѕРІР°СЂС‹ РґР»СЏ РґРµС‚РµР№,5,2,3,7
215390,РЎРЅРёР·РёР»Р°СЃСЊ,СЃС‚Р°РЅРґР°СЂС‚,РґР°,3.1,4,152,0.33,РљРѕСЃРјРµС‚РёРєР° Рё Р°РєСЃРµСЃСѓР°СЂС‹,6,4,2,5
215391,РЎРЅРёР·РёР»Р°СЃСЊ,РїСЂРµРјРёСѓРј,РґР°,3.5,3,754,0.3,РљРѕСЃРјРµС‚РёРєР° Рё Р°РєСЃРµСЃСѓР°СЂС‹,3,1,2,1
215392,РЎРЅРёР·РёР»Р°СЃСЊ,РїСЂРµРјРёСѓРј,РґР°,3.9,3,525,0.28,РљСѓС…РѕРЅРЅР°СЏ РїРѕСЃСѓРґР°,5,0,4,4
215393,РЎРЅРёР·РёР»Р°СЃСЊ,СЃС‚Р°РЅРґР°СЂС‚,РЅРµС‚,4.6,4,169,0.93,РўРµС…РЅРёРєР° РґР»СЏ РєСЂР°СЃРѕС‚С‹ Рё Р·РґРѕСЂРѕРІСЊСЏ,2,1,3,7
215394,РЎРЅРёР·РёР»Р°СЃСЊ,СЃС‚Р°РЅРґР°СЂС‚,РґР°,3.0,5,966,0.3,РўРѕРІР°СЂС‹ РґР»СЏ РґРµС‚РµР№,3,1,2,4
215395,РЎРЅРёР·РёР»Р°СЃСЊ,РїСЂРµРјРёСѓРј,РґР°,1.5,5,645,0.27,РўРѕРІР°СЂС‹ РґР»СЏ РґРµС‚РµР№,3,3,6,5
215396,РЎРЅРёР·РёР»Р°СЃСЊ,СЃС‚Р°РЅРґР°СЂС‚,РґР°,3.4,5,706,0.22,Р”РѕРјР°С€РЅРёР№ С‚РµРєСЃС‚РёР»СЊ,2,3,8,4
215397,РЎРЅРёР·РёР»Р°СЃСЊ,СЃС‚Р°РЅРґР°СЂС‚,РґР°,4.2,3,689,0.31,Р”РѕРјР°С€РЅРёР№ С‚РµРєСЃС‚РёР»СЊ,4,2,2,3
215398,РЎРЅРёР·РёР»Р°СЃСЊ,РїСЂРµРјРёСѓРј,РґР°,3.5,5,882,0.22,РњРµР»РєР°СЏ Р±С‹С‚РѕРІР°СЏ С‚РµС…РЅРёРєР° Рё СЌР»РµРєС‚СЂРѕРЅРёРєР°,3,2,6,3
215399,РЎРЅРёР·РёР»Р°СЃСЊ,РїСЂРµРјРёСѓРј,РґР°,4.1,4,1007,0.3,РўРѕРІР°СЂС‹ РґР»СЏ РґРµС‚РµР№,4,5,3,6
215400,РЎРЅРёР·РёР»Р°СЃСЊ,СЃС‚Р°РЅРґР°СЂС‚,РЅРµС‚,4.4,5,304,0.94,РўРѕРІР°СЂС‹ РґР»СЏ РґРµС‚РµР№,1,4,3,2
215401,РЎРЅРёР·РёР»Р°СЃСЊ,РїСЂРµРјРёСѓРј,РґР°,3.4,5,339,0.3,РљРѕСЃРјРµС‚РёРєР° Рё Р°РєСЃРµСЃСѓР°СЂС‹,2,3,3,4
215402,РЎРЅРёР·РёР»Р°СЃСЊ,РїСЂРµРјРёСѓРј,РґР°,3.0,5,954,0.93,РўРѕРІР°СЂС‹ РґР»СЏ РґРµС‚РµР№,3,2,4,6
215403,РЎРЅРёР·РёР»Р°СЃСЊ,РїСЂРµРјРёСѓРј,РґР°,1.7,5,771,0.39,РўРµС…РЅРёРєР° РґР»СЏ РєСЂР°СЃРѕС‚С‹ Рё Р·РґРѕСЂРѕРІСЊСЏ,1,8,2,5
215404,РЎРЅРёР·РёР»Р°СЃСЊ,СЃС‚Р°РЅРґР°СЂС‚,РґР°,2.4,3,699,0.94,Р”РѕРјР°С€РЅРёР№ С‚РµРєСЃС‚РёР»СЊ,4,1,2,3
215405,РЎРЅРёР·РёР»Р°СЃСЊ,СЃС‚Р°РЅРґР°СЂС‚,РґР°,3.0,3,669,0.34,РљСѓС…РѕРЅРЅР°СЏ РїРѕСЃСѓРґР°,4,2,5,4
215406,РЎРЅРёР·РёР»Р°СЃСЊ,СЃС‚Р°РЅРґР°СЂС‚,РґР°,2.4,5,511,0.3,РўРѕРІР°СЂС‹ РґР»СЏ РґРµС‚РµР№,3,2,4,6
215407,РЎРЅРёР·РёР»Р°СЃСЊ,РїСЂРµРјРёСѓРј,РґР°,2.4,4,974,0.35,Р”РѕРјР°С€РЅРёР№ С‚РµРєСЃС‚РёР»СЊ,4,3,4,6
215408,РЎРЅРёР·РёР»Р°СЃСЊ,РїСЂРµРјРёСѓРј,РґР°,2.4,3,666,0.98,РљСѓС…РѕРЅРЅР°СЏ РїРѕСЃСѓРґР°,3,5,1,2
215409,РЎРЅРёР·РёР»Р°СЃСЊ,РїСЂРµРјРёСѓРј,РґР°,1.4,4,857,0.95,РљСѓС…РѕРЅРЅР°СЏ РїРѕСЃСѓРґР°,3,4,5,5
215410,РЎРЅРёР·РёР»Р°СЃСЊ,СЃС‚Р°РЅРґР°СЂС‚,РґР°,3.0,3,1048,0.89,РўРѕРІР°СЂС‹ РґР»СЏ РґРµС‚РµР№,4,5,3,1
215411,РЎРЅРёР·РёР»Р°СЃСЊ,СЃС‚Р°РЅРґР°СЂС‚,РґР°,1.7,4,756,0.33,РўРѕРІР°СЂС‹ РґР»СЏ РґРµС‚РµР№,2,3,7,4
215412,РЎРЅРёР·РёР»Р°СЃСЊ,РїСЂРµРјРёСѓРј,РґР°,2.9,3,506,0.9,РўРѕРІР°СЂС‹ РґР»СЏ РґРµС‚РµР№,1,5,3,4
215413,РЎРЅРёР·РёР»Р°СЃСЊ,РїСЂРµРјРёСѓРј,РґР°,4.0,3,759,0.23,РљРѕСЃРјРµС‚РёРєР° Рё Р°РєСЃРµСЃСѓР°СЂС‹,1,4,5,5
215414,РЎРЅРёР·РёР»Р°СЃСЊ,РїСЂРµРјРёСѓРј,РґР°,4.0,4,768,0.32,РљСѓС…РѕРЅРЅР°СЏ РїРѕСЃСѓРґР°,2,8,4,4
215415,РЎРЅРёР·РёР»Р°СЃСЊ,СЃС‚Р°РЅРґР°СЂС‚,РґР°,2.4,3,720,0.32,Р”РѕРјР°С€РЅРёР№ С‚РµРєСЃС‚РёР»СЊ,2,6,3,3
215416,РЎРЅРёР·РёР»Р°СЃСЊ,СЃС‚Р°РЅРґР°СЂС‚,РґР°,4.2,4,219,0.24,РўРѕРІР°СЂС‹ РґР»СЏ РґРµС‚РµР№,2,5,7,8
215417,РЎРЅРёР·РёР»Р°СЃСЊ,РїСЂРµРјРёСѓРј,РґР°,4.1,5,377,0.24,РўРѕРІР°СЂС‹ РґР»СЏ РґРµС‚РµР№,3,2,2,3
215418,РЎРЅРёР·РёР»Р°СЃСЊ,СЃС‚Р°РЅРґР°СЂС‚,РЅРµС‚,1.7,4,472,0.94,Р”РѕРјР°С€РЅРёР№ С‚РµРєСЃС‚РёР»СЊ,2,6,4,3
215419,РЎРЅРёР·РёР»Р°СЃСЊ,РїСЂРµРјРёСѓРј,РґР°,3.4,4,806,0.93,Р”РѕРјР°С€РЅРёР№ С‚РµРєСЃС‚РёР»СЊ,3,5,8,6
215420,РЎРЅРёР·РёР»Р°СЃСЊ,СЃС‚Р°РЅРґР°СЂС‚,РґР°,3.5,5,449,0.35,Р”РѕРјР°С€РЅРёР№ С‚РµРєСЃС‚РёР»СЊ,1,9,2,2
215421,РЎРЅРёР·РёР»Р°СЃСЊ,РїСЂРµРјРёСѓРј,РЅРµС‚,4.0,5,523,0.94,РўРµС…РЅРёРєР° РґР»СЏ РєСЂР°СЃРѕС‚С‹ Рё Р·РґРѕСЂРѕРІСЊСЏ,1,10,7,5
215422,РЎРЅРёР·РёР»Р°СЃСЊ,СЃС‚Р°РЅРґР°СЂС‚,РґР°,4.2,4,503,0.25,РўРѕРІР°СЂС‹ РґР»СЏ РґРµС‚РµР№,2,3,1,6
215423,РЎРЅРёР·РёР»Р°СЃСЊ,СЃС‚Р°РЅРґР°СЂС‚,РґР°,3.5,4,515,0.29,РљРѕСЃРјРµС‚РёРєР° Рё Р°РєСЃРµСЃСѓР°СЂС‹,1,4,4,1
215424,РЎРЅРёР·РёР»Р°СЃСЊ,РїСЂРµРјРёСѓРј,РґР°,3.8,3,813,0.36,Р”РѕРјР°С€РЅРёР№ С‚РµРєСЃС‚РёР»СЊ,3,3,2,2
215425,РЎРЅРёР·РёР»Р°СЃСЊ,СЃС‚Р°РЅРґР°СЂС‚,РґР°,4.1,4,249,0.28,РљСѓС…РѕРЅРЅР°СЏ РїРѕСЃСѓРґР°,2,6,1,4
215426,РЎРЅРёР·РёР»Р°СЃСЊ,РїСЂРµРјРёСѓРј,РґР°,2.7,4,829,0.22,РљРѕСЃРјРµС‚РёРєР° Рё Р°РєСЃРµСЃСѓР°СЂС‹,3,5,4,5
215427,РЎРЅРёР·РёР»Р°СЃСЊ,СЃС‚Р°РЅРґР°СЂС‚,РЅРµС‚,2.4,4,186,0.4,РљРѕСЃРјРµС‚РёРєР° Рё Р°РєСЃРµСЃСѓР°СЂС‹,3,6,7,6
215428,РЎРЅРёР·РёР»Р°СЃСЊ,СЃС‚Р°РЅРґР°СЂС‚,РЅРµС‚,4.0,3,336,0.9,Р”РѕРјР°С€РЅРёР№ С‚РµРєСЃС‚РёР»СЊ,2,7,2,6
215429,РЎРЅРёР·РёР»Р°СЃСЊ,РїСЂРµРјРёСѓРј,РЅРµС‚,0.9,4,690,0.24,Р”РѕРјР°С€РЅРёР№ С‚РµРєСЃС‚РёР»СЊ,2,5,7,4
215430,РЎРЅРёР·РёР»Р°СЃСЊ,СЃС‚Р°РЅРґР°СЂС‚,РґР°,2.9,4,824,0.29,РљСѓС…РѕРЅРЅР°СЏ РїРѕСЃСѓРґР°,2,2,5,3
215431,РЎРЅРёР·РёР»Р°СЃСЊ,РїСЂРµРјРёСѓРј,РґР°,3.9,4,666,0.21,РљСѓС…РѕРЅРЅР°СЏ РїРѕСЃСѓРґР°,3,3,6,7
215432,РЎРЅРёР·РёР»Р°СЃСЊ,СЃС‚Р°РЅРґР°СЂС‚,РЅРµС‚,4.1,4,377,0.24,РўРѕРІР°СЂС‹ РґР»СЏ РґРµС‚РµР№,3,3,2,1
215433,РЎРЅРёР·РёР»Р°СЃСЊ,СЃС‚Р°РЅРґР°СЂС‚,РґР°,4.0,4,753,0.89,РўРѕРІР°СЂС‹ РґР»СЏ РґРµС‚РµР№,2,8,3,2
215434,РЎРЅРёР·РёР»Р°СЃСЊ,СЃС‚Р°РЅРґР°СЂС‚,РґР°,3.9,4,674,0.21,Р”РѕРјР°С€РЅРёР№ С‚РµРєСЃС‚РёР»СЊ,3,5,7,6
215435,РЎРЅРёР·РёР»Р°СЃСЊ,РїСЂРµРјРёСѓРј,РґР°,4.8,4,875,0.35,РўРѕРІР°СЂС‹ РґР»СЏ РґРµС‚РµР№,2,2,5,9
215436,РЎРЅРёР·РёР»Р°СЃСЊ,СЃС‚Р°РЅРґР°СЂС‚,РґР°,4.6,3,844,0.93,РўРѕРІР°СЂС‹ РґР»СЏ РґРµС‚РµР№,3,8,4,2
215437,РЎРЅРёР·РёР»Р°СЃСЊ,РїСЂРµРјРёСѓРј,РґР°,2.4,3,602,0.32,РљРѕСЃРјРµС‚РёРєР° Рё Р°РєСЃРµСЃСѓР°СЂС‹,2,5,3,3
215438,РЎРЅРёР·РёР»Р°СЃСЊ,СЃС‚Р°РЅРґР°СЂС‚,РґР°,4.0,5,855,0.3,РљСѓС…РѕРЅРЅР°СЏ РїРѕСЃСѓРґР°,2,6,2,7
215439,РЎРЅРёР·РёР»Р°СЃСЊ,РїСЂРµРјРёСѓРј,РЅРµС‚,3.4,5,448,0.28,РўРѕРІР°СЂС‹ РґР»СЏ РґРµС‚РµР№,4,2,2,7
215440,РЎРЅРёР·РёР»Р°СЃСЊ,СЃС‚Р°РЅРґР°СЂС‚,РЅРµС‚,3.8,5,344,0.4,РўРѕРІР°СЂС‹ РґР»СЏ РґРµС‚РµР№,3,3,8,3
215441,РЎРЅРёР·РёР»Р°СЃСЊ,СЃС‚Р°РЅРґР°СЂС‚,РґР°,4.1,4,922,0.29,РўРѕРІР°СЂС‹ РґР»СЏ РґРµС‚РµР№,6,7,1,5
215442,РЎРЅРёР·РёР»Р°СЃСЊ,СЃС‚Р°РЅРґР°СЂС‚,РґР°,2.4,4,298,0.89,Р”РѕРјР°С€РЅРёР№ С‚РµРєСЃС‚РёР»СЊ,6,3,2,3
215443,РЎРЅРёР·РёР»Р°СЃСЊ,РїСЂРµРјРёСѓРј,РґР°,3.1,4,893,0.24,РљСѓС…РѕРЅРЅР°СЏ РїРѕСЃСѓРґР°,2,4,3,2
215444,РЎРЅРёР·РёР»Р°СЃСЊ,СЃС‚Р°РЅРґР°СЂС‚,РґР°,3.1,5,881,0.29,РљСѓС…РѕРЅРЅР°СЏ РїРѕСЃСѓРґР°,3,5,2,2
215445,РЎРЅРёР·РёР»Р°СЃСЊ,СЃС‚Р°РЅРґР°СЂС‚,РЅРµС‚,4.0,5,372,0.99,РљРѕСЃРјРµС‚РёРєР° Рё Р°РєСЃРµСЃСѓР°СЂС‹,1,6,6,5
215446,РЎРЅРёР·РёР»Р°СЃСЊ,СЃС‚Р°РЅРґР°СЂС‚,РґР°,3.5,4,788,0.32,РўРµС…РЅРёРєР° РґР»СЏ РєСЂР°СЃРѕС‚С‹ Рё Р·РґРѕСЂРѕРІСЊСЏ,3,3,4,3
215447,РЎРЅРёР·РёР»Р°СЃСЊ,СЃС‚Р°РЅРґР°СЂС‚,РґР°,2.4,5,511,0.94,РўРѕРІР°СЂС‹ РґР»СЏ РґРµС‚РµР№,3,2,3,3
215448,РЎРЅРёР·РёР»Р°СЃСЊ,РїСЂРµРјРёСѓРј,РґР°,4.6,4,974,0.94,Р”РѕРјР°С€РЅРёР№ С‚РµРєСЃС‚РёР»СЊ,4,3,3,7
215449,РЎРЅРёР·РёР»Р°СЃСЊ,РїСЂРµРјРёСѓРј,РґР°,2.4,3,666,0.39,РљСѓС…РѕРЅРЅР°СЏ РїРѕСЃСѓРґР°,3,5,2,3
215450,РЎРЅРёР·РёР»Р°СЃСЊ,РїСЂРµРјРёСѓРј,РґР°,5.6,4,857,0.36,РљСѓС…РѕРЅРЅР°СЏ РїРѕСЃСѓРґР°,3,4,6,5
215451,РЎРЅРёР·РёР»Р°СЃСЊ,СЃС‚Р°РЅРґР°СЂС‚,РґР°,3.9,3,1048,0.22,РўРѕРІР°СЂС‹ РґР»СЏ РґРµС‚РµР№,4,5,4,5
215452,РЎРЅРёР·РёР»Р°СЃСЊ,СЃС‚Р°РЅРґР°СЂС‚,РґР°,3.8,4,756,0.9,РўРѕРІР°СЂС‹ РґР»СЏ РґРµС‚РµР№,2,3,6,4
215453,РЎРЅРёР·РёР»Р°СЃСЊ,РїСЂРµРјРёСѓРј,РґР°,2.4,3,506,0.22,РўРѕРІР°СЂС‹ РґР»СЏ РґРµС‚РµР№,1,5,4,3
215454,РЎРЅРёР·РёР»Р°СЃСЊ,РїСЂРµРјРёСѓРј,РґР°,4.6,3,759,0.36,РљРѕСЃРјРµС‚РёРєР° Рё Р°РєСЃРµСЃСѓР°СЂС‹,1,4,8,5
