id,РџРµСЂРёРѕРґ,Р’С‹СЂСѓС‡РєР°
215378,РїСЂРµРїСЂРµРґС‹РґСѓС‰РёР№_РјРµСЃСЏС†,4302.0
215379,РїСЂРµРґС‹РґСѓС‰РёР№_РјРµСЃСЏС†,4300.0
215379,РїСЂРµРїСЂРµРґС‹РґСѓС‰РёР№_РјРµСЃСЏС†,4360.0
215379,С‚РµРєСѓС‰РёР№_РјРµСЃСЏС†,4394.9
215380,РїСЂРµРїСЂРµРґС‹РґСѓС‰РёР№_РјРµСЃСЏС†,5051.0
215380,РїСЂРµРґС‹РґСѓС‰РёР№_РјРµСЃСЏС†,6077.0
215380,С‚РµРєСѓС‰РёР№_РјРµСЃСЏС†,106862.2
215381,РїСЂРµРїСЂРµРґС‹РґСѓС‰РёР№_РјРµСЃСЏС†,4503.0
215381,РїСЂРµРґС‹РґСѓС‰РёР№_РјРµСЃСЏС†,5467.5
215381,С‚РµРєСѓС‰РёР№_РјРµСЃСЏС†,5783.4
215382,РїСЂРµРїСЂРµРґС‹РґСѓС‰РёР№_РјРµСЃСЏС†,4824.0
215382,РїСЂРµРґС‹РґСѓС‰РёР№_РјРµСЃСЏС†,5545.5
215382,С‚РµРєСѓС‰РёР№_РјРµСЃСЏС†,6403.5
215383,РїСЂРµРїСЂРµРґС‹РґСѓС‰РёР№_РјРµСЃСЏС†,4729.0
215383,РїСЂРµРґС‹РґСѓС‰РёР№_РјРµСЃСЏС†,5560.0
215383,С‚РµРєСѓС‰РёР№_РјРµСЃСЏС†,5989.0
215384,РїСЂРµРґС‹РґСѓС‰РёР№_РјРµСЃСЏС†,3584.0
215384,С‚РµРєСѓС‰РёР№_РјРµСЃСЏС†,4010.4
215384,РїСЂРµРїСЂРµРґС‹РґСѓС‰РёР№_РјРµСЃСЏС†,4226.0
215385,С‚РµРєСѓС‰РёР№_РјРµСЃСЏС†,6627.8
215385,РїСЂРµРїСЂРµРґС‹РґСѓС‰РёР№_РјРµСЃСЏС†,4707.0
215385,РїСЂРµРґС‹РґСѓС‰РёР№_РјРµСЃСЏС†,6184.5
215386,С‚РµРєСѓС‰РёР№_РјРµСЃСЏС†,4478.5
215386,РїСЂРµРїСЂРµРґС‹РґСѓС‰РёР№_РјРµСЃСЏС†,4751.0
215386,РїСЂРµРґС‹РґСѓС‰РёР№_РјРµСЃСЏС†,3146.0
215387,С‚РµРєСѓС‰РёР№_РјРµСЃСЏС†,5658.4
215387,РїСЂРµРїСЂРµРґС‹РґСѓС‰РёР№_РјРµСЃСЏС†,4607.0
215387,РїСЂРµРґС‹РґСѓС‰РёР№_РјРµСЃСЏС†,5414.0
215388,С‚РµРєСѓС‰РёР№_РјРµСЃСЏС†,3232.2
215388,РїСЂРµРїСЂРµРґС‹РґСѓС‰РёР№_РјРµСЃСЏС†,4182.0
215388,РїСЂРµРґС‹РґСѓС‰РёР№_РјРµСЃСЏС†,3188.0
215389,С‚РµРєСѓС‰РёР№_РјРµСЃСЏС†,4429.1
215389,РїСЂРµРґС‹РґСѓС‰РёР№_РјРµСЃСЏС†,4550.0
215389,РїСЂРµРїСЂРµРґС‹РґСѓС‰РёР№_РјРµСЃСЏС†,4484.0
215390,РїСЂРµРґС‹РґСѓС‰РёР№_РјРµСЃСЏС†,4254.0
215390,РїСЂРµРїСЂРµРґС‹РґСѓС‰РёР№_РјРµСЃСЏС†,4549.0
215390,С‚РµРєСѓС‰РёР№_РјРµСЃСЏС†,4612.8
215391,РїСЂРµРґС‹РґСѓС‰РёР№_РјРµСЃСЏС†,5928.5
215391,РїСЂРµРїСЂРµРґС‹РґСѓС‰РёР№_РјРµСЃСЏС†,4556.0
215391,С‚РµРєСѓС‰РёР№_РјРµСЃСЏС†,5824.5
215392,РїСЂРµРїСЂРµРґС‹РґСѓС‰РёР№_РјРµСЃСЏС†,4341.0
215392,С‚РµРєСѓС‰РёР№_РјРµСЃСЏС†,5234.4
215392,РїСЂРµРґС‹РґСѓС‰РёР№_РјРµСЃСЏС†,4548.0
215393,С‚РµРєСѓС‰РёР№_РјРµСЃСЏС†,5345.5
215393,РїСЂРµРґС‹РґСѓС‰РёР№_РјРµСЃСЏС†,5267.5
215393,РїСЂРµРїСЂРµРґС‹РґСѓС‰РёР№_РјРµСЃСЏС†,4909.0
215394,С‚РµРєСѓС‰РёР№_РјРµСЃСЏС†,5651.4
215394,РїСЂРµРґС‹РґСѓС‰РёР№_РјРµСЃСЏС†,5420.0
215394,РїСЂРµРїСЂРµРґС‹РґСѓС‰РёР№_РјРµСЃСЏС†,4952.0
215395,С‚РµРєСѓС‰РёР№_РјРµСЃСЏС†,5677.1
215395,РїСЂРµРїСЂРµРґС‹РґСѓС‰РёР№_РјРµСЃСЏС†,4972.0
215395,РїСЂРµРґС‹РґСѓС‰РёР№_РјРµСЃСЏС†,5297.5
215396,РїСЂРµРїСЂРµРґС‹РґСѓС‰РёР№_РјРµСЃСЏС†,4805.0
215396,РїСЂРµРґС‹РґСѓС‰РёР№_РјРµСЃСЏС†,5876.0
215396,С‚РµРєСѓС‰РёР№_РјРµСЃСЏС†,6830.2
215397,РїСЂРµРїСЂРµРґС‹РґСѓС‰РёР№_РјРµСЃСЏС†,4430.0
215397,РїСЂРµРґС‹РґСѓС‰РёР№_РјРµСЃСЏС†,4541.0
215397,С‚РµРєСѓС‰РёР№_РјРµСЃСЏС†,5040.2
215398,РїСЂРµРїСЂРµРґС‹РґСѓС‰РёР№_РјРµСЃСЏС†,4557.0
215398,РїСЂРµРґС‹РґСѓС‰РёР№_РјРµСЃСЏС†,5530.5
215398,С‚РµРєСѓС‰РёР№_РјРµСЃСЏС†,5854.2
215399,РїСЂРµРїСЂРµРґС‹РґСѓС‰РёР№_РјРµСЃСЏС†,4529.0
215399,РїСЂРµРґС‹РґСѓС‰РёР№_РјРµСЃСЏС†,3857.0
215399,С‚РµРєСѓС‰РёР№_РјРµСЃСЏС†,4900.9
215400,РїСЂРµРїСЂРµРґС‹РґСѓС‰РёР№_РјРµСЃСЏС†,4439.0
215400,С‚РµРєСѓС‰РёР№_РјРµСЃСЏС†,5691.4
215400,РїСЂРµРґС‹РґСѓС‰РёР№_РјРµСЃСЏС†,5681.0
215401,С‚РµРєСѓС‰РёР№_РјРµСЃСЏС†,6065.9
215401,РїСЂРµРїСЂРµРґС‹РґСѓС‰РёР№_РјРµСЃСЏС†,4833.0
215401,РїСЂРµРґС‹РґСѓС‰РёР№_РјРµСЃСЏС†,5548.5
215402,С‚РµРєСѓС‰РёР№_РјРµСЃСЏС†,4940.1
215402,РїСЂРµРїСЂРµРґС‹РґСѓС‰РёР№_РјРµСЃСЏС†,4702.0
215402,РїСЂРµРґС‹РґСѓС‰РёР№_РјРµСЃСЏС†,4918.0
215403,С‚РµРєСѓС‰РёР№_РјРµСЃСЏС†,6427.2
215403,РїСЂРµРїСЂРµРґС‹РґСѓС‰РёР№_РјРµСЃСЏС†,4957.0
215403,РїСЂРµРґС‹РґСѓС‰РёР№_РјРµСЃСЏС†,5824.0
215404,С‚РµРєСѓС‰РёР№_РјРµСЃСЏС†,4867.0
215404,РїСЂРµРїСЂРµРґС‹РґСѓС‰РёР№_РјРµСЃСЏС†,4449.0
215404,РїСЂРµРґС‹РґСѓС‰РёР№_РјРµСЃСЏС†,3788.0
215405,РїСЂРµРїСЂРµРґС‹РґСѓС‰РёР№_РјРµСЃСЏС†,4881.0
215405,РїСЂРµРґС‹РґСѓС‰РёР№_РјРµСЃСЏС†,6226.5
215405,С‚РµРєСѓС‰РёР№_РјРµСЃСЏС†,7104.0
215406,РїСЂРµРґС‹РґСѓС‰РёР№_РјРµСЃСЏС†,5715.5
215406,С‚РµРєСѓС‰РёР№_РјРµСЃСЏС†,6257.6
215406,РїСЂРµРїСЂРµРґС‹РґСѓС‰РёР№_РјРµСЃСЏС†,4763.0
215407,РїСЂРµРґС‹РґСѓС‰РёР№_РјРµСЃСЏС†,5502.0
215407,С‚РµРєСѓС‰РёР№_РјРµСЃСЏС†,5919.3
215407,РїСЂРµРїСЂРµРґС‹РґСѓС‰РёР№_РјРµСЃСЏС†,4884.0
215408,РїСЂРµРґС‹РґСѓС‰РёР№_РјРµСЃСЏС†,5295.0
215408,С‚РµРєСѓС‰РёР№_РјРµСЃСЏС†,5029.8
215408,РїСЂРµРїСЂРµРґС‹РґСѓС‰РёР№_РјРµСЃСЏС†,4434.0
215409,РїСЂРµРґС‹РґСѓС‰РёР№_РјРµСЃСЏС†,5219.5
215409,С‚РµРєСѓС‰РёР№_РјРµСЃСЏС†,5538.0
215409,РїСЂРµРїСЂРµРґС‹РґСѓС‰РёР№_РјРµСЃСЏС†,4465.0
215410,С‚РµРєСѓС‰РёР№_РјРµСЃСЏС†,4607.6
215410,РїСЂРµРїСЂРµРґС‹РґСѓС‰РёР№_РјРµСЃСЏС†,4248.0
215410,РїСЂРµРґС‹РґСѓС‰РёР№_РјРµСЃСЏС†,4839.0
215411,РїСЂРµРїСЂРµРґС‹РґСѓС‰РёР№_РјРµСЃСЏС†,4609.0
215411,РїСЂРµРґС‹РґСѓС‰РёР№_РјРµСЃСЏС†,5395.0
215411,С‚РµРєСѓС‰РёР№_РјРµСЃСЏС†,5499.0
215412,РїСЂРµРїСЂРµРґС‹РґСѓС‰РёР№_РјРµСЃСЏС†,4607.0
215412,РїСЂРµРґС‹РґСѓС‰РёР№_РјРµСЃСЏС†,5499.5
215412,С‚РµРєСѓС‰РёР№_РјРµСЃСЏС†,5294.1
215413,РїСЂРµРїСЂРµРґС‹РґСѓС‰РёР№_РјРµСЃСЏС†,4301.0
215413,РїСЂРµРґС‹РґСѓС‰РёР№_РјРµСЃСЏС†,3943.0
215413,С‚РµРєСѓС‰РёР№_РјРµСЃСЏС†,4166.6
215414,РїСЂРµРїСЂРµРґС‹РґСѓС‰РёР№_РјРµСЃСЏС†,4747.0
215414,РїСЂРµРґС‹РґСѓС‰РёР№_РјРµСЃСЏС†,3757.0
215414,С‚РµРєСѓС‰РёР№_РјРµСЃСЏС†,4144.4
215415,РїСЂРµРґС‹РґСѓС‰РёР№_РјРµСЃСЏС†,6147.0
215415,С‚РµРєСѓС‰РёР№_РјРµСЃСЏС†,6352.4
215415,РїСЂРµРїСЂРµРґС‹РґСѓС‰РёР№_РјРµСЃСЏС†,4875.0
215416,С‚РµРєСѓС‰РёР№_РјРµСЃСЏС†,4882.7
215416,РїСЂРµРїСЂРµРґС‹РґСѓС‰РёР№_РјРµСЃСЏС†,4148.0
215416,РїСЂРµРґС‹РґСѓС‰РёР№_РјРµСЃСЏС†,4461.5
215417,С‚РµРєСѓС‰РёР№_РјРµСЃСЏС†,3875.0
215417,РїСЂРµРїСЂРµРґС‹РґСѓС‰РёР№_РјРµСЃСЏС†,4991.0
215417,РїСЂРµРґС‹РґСѓС‰РёР№_РјРµСЃСЏС†,3914.0
215418,С‚РµРєСѓС‰РёР№_РјРµСЃСЏС†,6427.1
215418,РїСЂРµРїСЂРµРґС‹РґСѓС‰РёР№_РјРµСЃСЏС†,4661.0
215418,РїСЂРµРґС‹РґСѓС‰РёР№_РјРµСЃСЏС†,5943.5
215419,С‚РµРєСѓС‰РёР№_РјРµСЃСЏС†,5676.1
215419,РїСЂРµРїСЂРµРґС‹РґСѓС‰РёР№_РјРµСЃСЏС†,4756.0
215419,РїСЂРµРґС‹РґСѓС‰РёР№_РјРµСЃСЏС†,5816.5
215420,С‚РµРєСѓС‰РёР№_РјРµСЃСЏС†,5200.3
215420,РїСЂРµРґС‹РґСѓС‰РёР№_РјРµСЃСЏС†,5264.0
215420,РїСЂРµРїСЂРµРґС‹РґСѓС‰РёР№_РјРµСЃСЏС†,4568.0
215421,РїСЂРµРґС‹РґСѓС‰РёР№_РјРµСЃСЏС†,5130.5
215421,С‚РµРєСѓС‰РёР№_РјРµСЃСЏС†,5322.9
215421,РїСЂРµРїСЂРµРґС‹РґСѓС‰РёР№_РјРµСЃСЏС†,4571.0
215422,РїСЂРµРґС‹РґСѓС‰РёР№_РјРµСЃСЏС†,4995.0
215422,С‚РµРєСѓС‰РёР№_РјРµСЃСЏС†,4668.7
215422,РїСЂРµРїСЂРµРґС‹РґСѓС‰РёР№_РјРµСЃСЏС†,4455.0
215423,РїСЂРµРґС‹РґСѓС‰РёР№_РјРµСЃСЏС†,5586.5
215423,С‚РµРєСѓС‰РёР№_РјРµСЃСЏС†,5682.7
215423,РїСЂРµРїСЂРµРґС‹РґСѓС‰РёР№_РјРµСЃСЏС†,4316.0
215424,РїСЂРµРґС‹РґСѓС‰РёР№_РјРµСЃСЏС†,5821.5
215424,С‚РµРєСѓС‰РёР№_РјРµСЃСЏС†,5859.2
215424,РїСЂРµРїСЂРµРґС‹РґСѓС‰РёР№_РјРµСЃСЏС†,4383.0
215425,С‚РµРєСѓС‰РёР№_РјРµСЃСЏС†,5485.4
215425,РїСЂРµРїСЂРµРґС‹РґСѓС‰РёР№_РјРµСЃСЏС†,4623.0
215425,РїСЂРµРґС‹РґСѓС‰РёР№_РјРµСЃСЏС†,5202.0
215426,РїСЂРµРїСЂРµРґС‹РґСѓС‰РёР№_РјРµСЃСЏС†,4648.0
215426,РїСЂРµРґС‹РґСѓС‰РёР№_РјРµСЃСЏС†,5404.0
215426,С‚РµРєСѓС‰РёР№_РјРµСЃСЏС†,6150.2
215427,РїСЂРµРїСЂРµРґС‹РґСѓС‰РёР№_РјРµСЃСЏС†,4795.0
215427,РїСЂРµРґС‹РґСѓС‰РёР№_РјРµСЃСЏС†,5549.5
215427,С‚РµРєСѓС‰РёР№_РјРµСЃСЏС†,6427.0
215428,РїСЂРµРїСЂРµРґС‹РґСѓС‰РёР№_РјРµСЃСЏС†,4537.0
215428,РїСЂРµРґС‹РґСѓС‰РёР№_РјРµСЃСЏС†,4456.0
215428,С‚РµРєСѓС‰РёР№_РјРµСЃСЏС†,5444.0
215429,РїСЂРµРїСЂРµРґС‹РґСѓС‰РёР№_РјРµСЃСЏС†,4488.0
215429,РїСЂРµРґС‹РґСѓС‰РёР№_РјРµСЃСЏС†,3662.0
215429,С‚РµРєСѓС‰РёР№_РјРµСЃСЏС†,4158.6
215430,РїСЂРµРґС‹РґСѓС‰РёР№_РјРµСЃСЏС†,5289.5
215430,С‚РµРєСѓС‰РёР№_РјРµСЃСЏС†,5780.9
215430,РїСЂРµРїСЂРµРґС‹РґСѓС‰РёР№_РјРµСЃСЏС†,4712.0
215431,С‚РµРєСѓС‰РёР№_РјРµСЃСЏС†,6184.8
215431,РїСЂРµРґС‹РґСѓС‰РёР№_РјРµСЃСЏС†,5455.5
215431,РїСЂРµРїСЂРµРґС‹РґСѓС‰РёР№_РјРµСЃСЏС†,4692.0
215432,С‚РµРєСѓС‰РёР№_РјРµСЃСЏС†,5038.8
215432,РїСЂРµРґС‹РґСѓС‰РёР№_РјРµСЃСЏС†,5063.5
215432,РїСЂРµРїСЂРµРґС‹РґСѓС‰РёР№_РјРµСЃСЏС†,4648.0
215433,РїСЂРµРґС‹РґСѓС‰РёР№_РјРµСЃСЏС†,4599.0
215433,РїСЂРµРїСЂРµРґС‹РґСѓС‰РёР№_РјРµСЃСЏС†,4098.0
215433,С‚РµРєСѓС‰РёР№_РјРµСЃСЏС†,4959.1
215434,РїСЂРµРїСЂРµРґС‹РґСѓС‰РёР№_РјРµСЃСЏС†,4604.0
215434,С‚РµРєСѓС‰РёР№_РјРµСЃСЏС†,5733.3
215434,РїСЂРµРґС‹РґСѓС‰РёР№_РјРµСЃСЏС†,4913.0
215435,РїСЂРµРїСЂРµРґС‹РґСѓС‰РёР№_РјРµСЃСЏС†,5008.0
215435,С‚РµРєСѓС‰РёР№_РјРµСЃСЏС†,7605.3
215435,РїСЂРµРґС‹РґСѓС‰РёР№_РјРµСЃСЏС†,6869.5
215436,РїСЂРµРїСЂРµРґС‹РґСѓС‰РёР№_РјРµСЃСЏС†,4752.0
215436,РїСЂРµРґС‹РґСѓС‰РёР№_РјРµСЃСЏС†,5370.0
215436,С‚РµРєСѓС‰РёР№_РјРµСЃСЏС†,5511.7
215437,РїСЂРµРґС‹РґСѓС‰РёР№_РјРµСЃСЏС†,4987.5
215437,С‚РµРєСѓС‰РёР№_РјРµСЃСЏС†,4834.1
215437,РїСЂРµРїСЂРµРґС‹РґСѓС‰РёР№_РјРµСЃСЏС†,4875.0
215438,РїСЂРµРґС‹РґСѓС‰РёР№_РјРµСЃСЏС†,4283.0
215438,С‚РµРєСѓС‰РёР№_РјРµСЃСЏС†,4787.4
215438,РїСЂРµРїСЂРµРґС‹РґСѓС‰РёР№_РјРµСЃСЏС†,4235.0
215439,РїСЂРµРґС‹РґСѓС‰РёР№_РјРµСЃСЏС†,5484.0
215439,С‚РµРєСѓС‰РёР№_РјРµСЃСЏС†,5833.7
215439,РїСЂРµРїСЂРµРґС‹РґСѓС‰РёР№_РјРµСЃСЏС†,4551.0
215440,РїСЂРµРґС‹РґСѓС‰РёР№_РјРµСЃСЏС†,5470.5
215440,С‚РµРєСѓС‰РёР№_РјРµСЃСЏС†,5571.9
215440,РїСЂРµРїСЂРµРґС‹РґСѓС‰РёР№_РјРµСЃСЏС†,4740.0
215441,РїСЂРµРґС‹РґСѓС‰РёР№_РјРµСЃСЏС†,4305.0
215441,РїСЂРµРїСЂРµРґС‹РґСѓС‰РёР№_РјРµСЃСЏС†,4443.0
215441,С‚РµРєСѓС‰РёР№_РјРµСЃСЏС†,4029.4
215442,РїСЂРµРїСЂРµРґС‹РґСѓС‰РёР№_РјРµСЃСЏС†,4917.0
215442,РїСЂРµРґС‹РґСѓС‰РёР№_РјРµСЃСЏС†,4665.0
215442,С‚РµРєСѓС‰РёР№_РјРµСЃСЏС†,4371.2
215443,РїСЂРµРїСЂРµРґС‹РґСѓС‰РёР№_РјРµСЃСЏС†,4691.0
215443,РїСЂРµРґС‹РґСѓС‰РёР№_РјРµСЃСЏС†,6291.5
215443,С‚РµРєСѓС‰РёР№_РјРµСЃСЏС†,6378.6
215444,РїСЂРµРїСЂРµРґС‹РґСѓС‰РёР№_РјРµСЃСЏС†,4162.0
215444,РїСЂРµРґС‹РґСѓС‰РёР№_РјРµСЃСЏС†,4068.0
215444,С‚РµРєСѓС‰РёР№_РјРµСЃСЏС†,4481.4
215445,РїСЂРµРїСЂРµРґС‹РґСѓС‰РёР№_РјРµСЃСЏС†,4528.0
215445,РїСЂРµРґС‹РґСѓС‰РёР№_РјРµСЃСЏС†,5186.5
215445,С‚РµРєСѓС‰РёР№_РјРµСЃСЏС†,5208.6
215446,РїСЂРµРґС‹РґСѓС‰РёР№_РјРµСЃСЏС†,4865.5
215446,С‚РµРєСѓС‰РёР№_РјРµСЃСЏС†,5024.1
215446,РїСЂРµРїСЂРµРґС‹РґСѓС‰РёР№_РјРµСЃСЏС†,4435.0
215447,С‚РµРєСѓС‰РёР№_РјРµСЃСЏС†,3567.1
215447,РїСЂРµРїСЂРµРґС‹РґСѓС‰РёР№_РјРµСЃСЏС†,4677.0
215447,РїСЂРµРґС‹РґСѓС‰РёР№_РјРµСЃСЏС†,3311.0
215448,С‚РµРєСѓС‰РёР№_РјРµСЃСЏС†,6129.7
215448,РїСЂРµРїСЂРµРґС‹РґСѓС‰РёР№_РјРµСЃСЏС†,4670.0
